"Date","Parsha","Aliyah","Reading","Verses"
05-Mar-2011,"Pekudei",4,"Exodus 39:33 - 39:43",11
05-Mar-2011,"Pekudei",5,"Exodus 40:1 - 40:16",16
05-Mar-2011,"Pekudei",6,"Exodus 40:17 - 40:27",11
05-Mar-2011,"Pekudei",7,"Exodus 40:28 - 40:38",11
05-Mar-2011,"Pekudei","maf","Exodus 30:11 - 30:16 (Shabbat Shekalim)",
05-Mar-2011,"Pekudei","Haftara","II Kings 12:1 - 12:17 (Shabbat Shekalim)",

12-Mar-2011,"Vayikra",1,"Leviticus 1:1 - 1:13",13
12-Mar-2011,"Vayikra",2,"Leviticus 1:14 - 2:6",10
12-Mar-2011,"Vayikra",3,"Leviticus 2:7 - 2:16",10
12-Mar-2011,"Vayikra",4,"Leviticus 3:1 - 3:17",17
12-Mar-2011,"Vayikra",5,"Leviticus 4:1 - 4:26",26
12-Mar-2011,"Vayikra",6,"Leviticus 4:27 - 5:10",19
12-Mar-2011,"Vayikra",7,"Leviticus 5:11 - 5:26",16
12-Mar-2011,"Vayikra","maf","Leviticus 5:24 - 5:26",3
12-Mar-2011,"Vayikra","Haftara","Isaiah 43:21 - 44:23",

19-Mar-2011,"Tzav",1,"Leviticus 6:1 - 6:11",11
19-Mar-2011,"Tzav",2,"Leviticus 6:12 - 7:10",22
19-Mar-2011,"Tzav",3,"Leviticus 7:11 - 7:38",28
19-Mar-2011,"Tzav",4,"Leviticus 8:1 - 8:13",13
19-Mar-2011,"Tzav",5,"Leviticus 8:14 - 8:21",8
19-Mar-2011,"Tzav",6,"Leviticus 8:22 - 8:29",8
19-Mar-2011,"Tzav",7,"Leviticus 8:30 - 8:36",7
19-Mar-2011,"Tzav","maf","Deuteronomy 25:17 - 25:19 (Shabbat Zachor)",
19-Mar-2011,"Tzav","Haftara","I Samuel 15:2 - 15:34 (Shabbat Zachor)",

26-Mar-2011,"Shmini",1,"Leviticus 9:1 - 9:16",16
26-Mar-2011,"Shmini",2,"Leviticus 9:17 - 9:23",7
26-Mar-2011,"Shmini",3,"Leviticus 9:24 - 10:11",12
26-Mar-2011,"Shmini",4,"Leviticus 10:12 - 10:15",4
26-Mar-2011,"Shmini",5,"Leviticus 10:16 - 10:20",5
26-Mar-2011,"Shmini",6,"Leviticus 11:1 - 11:32",32
26-Mar-2011,"Shmini",7,"Leviticus 11:33 - 11:47",15
26-Mar-2011,"Shmini","maf","Numbers 19:1 - 19:22 (Shabbat Parah)",
26-Mar-2011,"Shmini","Haftara","Ezekiel 36:16 - 36:38 (Shabbat Parah)",

02-Apr-2011,"Tazria",1,"Leviticus 12:1 - 13:5",13
02-Apr-2011,"Tazria",2,"Leviticus 13:6 - 13:17",12
02-Apr-2011,"Tazria",3,"Leviticus 13:18 - 13:23",6
02-Apr-2011,"Tazria",4,"Leviticus 13:24 - 13:28",5
02-Apr-2011,"Tazria",5,"Leviticus 13:29 - 13:39",11
02-Apr-2011,"Tazria",6,"Leviticus 13:40 - 13:54",15
02-Apr-2011,"Tazria",7,"Leviticus 13:55 - 13:59",5
02-Apr-2011,"Tazria","maf","Exodus 12:1 - 12:20 (Shabbat HaChodesh)",
02-Apr-2011,"Tazria","Haftara","Ezekiel 45:16 - 46:18 (Shabbat HaChodesh)",

09-Apr-2011,"Metzora",1,"Leviticus 14:1 - 14:12",12
09-Apr-2011,"Metzora",2,"Leviticus 14:13 - 14:20",8
09-Apr-2011,"Metzora",3,"Leviticus 14:21 - 14:32",12
09-Apr-2011,"Metzora",4,"Leviticus 14:33 - 14:53",21
09-Apr-2011,"Metzora",5,"Leviticus 14:54 - 15:15",19
09-Apr-2011,"Metzora",6,"Leviticus 15:16 - 15:28",13
09-Apr-2011,"Metzora",7,"Leviticus 15:29 - 15:33",5
09-Apr-2011,"Metzora","maf","Leviticus 15:31 - 15:33",3
09-Apr-2011,"Metzora","Haftara","II Kings 7:3 - 7:20",

16-Apr-2011,"Achrei Mot",1,"Leviticus 16:1 - 16:17",17
16-Apr-2011,"Achrei Mot",2,"Leviticus 16:18 - 16:24",7
16-Apr-2011,"Achrei Mot",3,"Leviticus 16:25 - 16:34",10
16-Apr-2011,"Achrei Mot",4,"Leviticus 17:1 - 17:7",7
16-Apr-2011,"Achrei Mot",5,"Leviticus 17:8 - 18:5",14
16-Apr-2011,"Achrei Mot",6,"Leviticus 18:6 - 18:21",16
16-Apr-2011,"Achrei Mot",7,"Leviticus 18:22 - 18:30",9
16-Apr-2011,"Achrei Mot","maf","Leviticus 18:28 - 18:30",3
16-Apr-2011,"Achrei Mot","Haftara","Malachi 3:4 - 3:24 (Shabbat HaGadol)",

30-Apr-2011,"Kedoshim",1,"Leviticus 19:1 - 19:14",14
30-Apr-2011,"Kedoshim",2,"Leviticus 19:15 - 19:22",8
30-Apr-2011,"Kedoshim",3,"Leviticus 19:23 - 19:32",10
30-Apr-2011,"Kedoshim",4,"Leviticus 19:33 - 19:37",5
30-Apr-2011,"Kedoshim",5,"Leviticus 20:1 - 20:7",7
30-Apr-2011,"Kedoshim",6,"Leviticus 20:8 - 20:22",15
30-Apr-2011,"Kedoshim",7,"Leviticus 20:23 - 20:27",5
30-Apr-2011,"Kedoshim","maf","Leviticus 20:25 - 20:27",3
30-Apr-2011,"Kedoshim","Haftara","Amos 9:7 - 9:15",

07-May-2011,"Emor",1,"Leviticus 21:1 - 21:15",15
07-May-2011,"Emor",2,"Leviticus 21:16 - 22:16",25
07-May-2011,"Emor",3,"Leviticus 22:17 - 22:33",17
07-May-2011,"Emor",4,"Leviticus 23:1 - 23:22",22
07-May-2011,"Emor",5,"Leviticus 23:23 - 23:32",10
07-May-2011,"Emor",6,"Leviticus 23:33 - 23:44",12
07-May-2011,"Emor",7,"Leviticus 24:1 - 24:23",23
07-May-2011,"Emor","maf","Leviticus 24:21 - 24:23",3
07-May-2011,"Emor","Haftara","Ezekiel 44:15 - 44:31",

14-May-2011,"Behar",1,"Leviticus 25:1 - 25:13",13
14-May-2011,"Behar",2,"Leviticus 25:14 - 25:18",5
14-May-2011,"Behar",3,"Leviticus 25:19 - 25:24",6
14-May-2011,"Behar",4,"Leviticus 25:25 - 25:28",4
14-May-2011,"Behar",5,"Leviticus 25:29 - 25:38",10
14-May-2011,"Behar",6,"Leviticus 25:39 - 25:46",8
14-May-2011,"Behar",7,"Leviticus 25:47 - 26:2",11
14-May-2011,"Behar","maf","Leviticus 25:55 - 26:2",3
14-May-2011,"Behar","Haftara","Jeremiah 32:6 - 32:27",

21-May-2011,"Bechukotai",1,"Leviticus 26:3 - 26:5",3
21-May-2011,"Bechukotai",2,"Leviticus 26:6 - 26:9",4
21-May-2011,"Bechukotai",3,"Leviticus 26:10 - 26:46",37
21-May-2011,"Bechukotai",4,"Leviticus 27:1 - 27:15",15
21-May-2011,"Bechukotai",5,"Leviticus 27:16 - 27:21",6
21-May-2011,"Bechukotai",6,"Leviticus 27:22 - 27:28",7
21-May-2011,"Bechukotai",7,"Leviticus 27:29 - 27:34",6
21-May-2011,"Bechukotai","maf","Leviticus 27:32 - 27:34",3
21-May-2011,"Bechukotai","Haftara","Jeremiah 16:19 - 17:14",

28-May-2011,"Bamidbar",1,"Numbers 1:1 - 1:19",19
28-May-2011,"Bamidbar",2,"Numbers 1:20 - 1:54",35
28-May-2011,"Bamidbar",3,"Numbers 2:1 - 2:34",34
28-May-2011,"Bamidbar",4,"Numbers 3:1 - 3:13",13
28-May-2011,"Bamidbar",5,"Numbers 3:14 - 3:39",26
28-May-2011,"Bamidbar",6,"Numbers 3:40 - 3:51",12
28-May-2011,"Bamidbar",7,"Numbers 4:1 - 4:20",20
28-May-2011,"Bamidbar","maf","Numbers 4:17 - 4:20",4
28-May-2011,"Bamidbar","Haftara","Hosea 2:1 - 2:22",

04-Jun-2011,"Nasso",1,"Numbers 4:21 - 4:37",17
04-Jun-2011,"Nasso",2,"Numbers 4:38 - 4:49",12
04-Jun-2011,"Nasso",3,"Numbers 5:1 - 5:10",10
04-Jun-2011,"Nasso",4,"Numbers 5:11 - 6:27",48
04-Jun-2011,"Nasso",5,"Numbers 7:1 - 7:41",41
04-Jun-2011,"Nasso",6,"Numbers 7:42 - 7:71",30
04-Jun-2011,"Nasso",7,"Numbers 7:72 - 7:89",18
04-Jun-2011,"Nasso","maf","Numbers 7:87 - 7:89",3
04-Jun-2011,"Nasso","Haftara","Judges 13:2 - 13:25",

11-Jun-2011,"Beha'alotcha",1,"Numbers 8:1 - 8:14",14
11-Jun-2011,"Beha'alotcha",2,"Numbers 8:15 - 8:26",12
11-Jun-2011,"Beha'alotcha",3,"Numbers 9:1 - 9:14",14
11-Jun-2011,"Beha'alotcha",4,"Numbers 9:15 - 10:10",19
11-Jun-2011,"Beha'alotcha",5,"Numbers 10:11 - 10:34",24
11-Jun-2011,"Beha'alotcha",6,"Numbers 10:35 - 11:29",31
11-Jun-2011,"Beha'alotcha",7,"Numbers 11:30 - 12:16",22
11-Jun-2011,"Beha'alotcha","maf","Numbers 12:14 - 12:16",3
11-Jun-2011,"Beha'alotcha","Haftara","Zechariah 2:14 - 4:7",

18-Jun-2011,"Sh'lach",1,"Numbers 13:1 - 13:20",20
18-Jun-2011,"Sh'lach",2,"Numbers 13:21 - 14:7",20
18-Jun-2011,"Sh'lach",3,"Numbers 14:8 - 14:25",18
18-Jun-2011,"Sh'lach",4,"Numbers 14:26 - 15:7",27
18-Jun-2011,"Sh'lach",5,"Numbers 15:8 - 15:16",9
18-Jun-2011,"Sh'lach",6,"Numbers 15:17 - 15:26",10
18-Jun-2011,"Sh'lach",7,"Numbers 15:27 - 15:41",15
18-Jun-2011,"Sh'lach","maf","Numbers 15:37 - 15:41",5
18-Jun-2011,"Sh'lach","Haftara","Joshua 2:1 - 2:24",

25-Jun-2011,"Korach",1,"Numbers 16:1 - 16:13",13
25-Jun-2011,"Korach",2,"Numbers 16:14 - 16:19",6
25-Jun-2011,"Korach",3,"Numbers 16:20 - 17:8",24
25-Jun-2011,"Korach",4,"Numbers 17:9 - 17:15",7
25-Jun-2011,"Korach",5,"Numbers 17:16 - 17:24",9
25-Jun-2011,"Korach",6,"Numbers 17:25 - 18:20",24
25-Jun-2011,"Korach",7,"Numbers 18:21 - 18:32",12
25-Jun-2011,"Korach","maf","Numbers 18:30 - 18:32",3
25-Jun-2011,"Korach","Haftara","I Samuel 11:14 - 12:22",

02-Jul-2011,"Chukat",1,"Numbers 19:1 - 19:17",17
02-Jul-2011,"Chukat",2,"Numbers 19:18 - 20:6",11
02-Jul-2011,"Chukat",3,"Numbers 20:7 - 20:13",7
02-Jul-2011,"Chukat",4,"Numbers 20:14 - 20:21",8
02-Jul-2011,"Chukat",5,"Numbers 20:22 - 21:9",17
02-Jul-2011,"Chukat",6,"Numbers 21:10 - 21:20",11
02-Jul-2011,"Chukat",7,"Numbers 21:21 - 22:1",16
02-Jul-2011,"Chukat","maf","Numbers 28:9 - 28:15 (Shabbat Rosh Chodesh)",
02-Jul-2011,"Chukat","Haftara","Isaiah 66:1 - 66:24 (Shabbat Rosh Chodesh)",

09-Jul-2011,"Balak",1,"Numbers 22:2 - 22:12",11
09-Jul-2011,"Balak",2,"Numbers 22:13 - 22:20",8
09-Jul-2011,"Balak",3,"Numbers 22:21 - 22:38",18
09-Jul-2011,"Balak",4,"Numbers 22:39 - 23:12",15
09-Jul-2011,"Balak",5,"Numbers 23:13 - 23:26",14
09-Jul-2011,"Balak",6,"Numbers 23:27 - 24:13",17
09-Jul-2011,"Balak",7,"Numbers 24:14 - 25:9",21
09-Jul-2011,"Balak","maf","Numbers 25:7 - 25:9",3
09-Jul-2011,"Balak","Haftara","Micah 5:6 - 6:8",

16-Jul-2011,"Pinchas",1,"Numbers 25:10 - 26:4",13
16-Jul-2011,"Pinchas",2,"Numbers 26:5 - 26:51",47
16-Jul-2011,"Pinchas",3,"Numbers 26:52 - 27:5",19
16-Jul-2011,"Pinchas",4,"Numbers 27:6 - 27:23",18
16-Jul-2011,"Pinchas",5,"Numbers 28:1 - 28:15",15
16-Jul-2011,"Pinchas",6,"Numbers 28:16 - 29:11",27
16-Jul-2011,"Pinchas",7,"Numbers 29:12 - 30:1",29
16-Jul-2011,"Pinchas","maf","Numbers 29:35 - 30:1",6
16-Jul-2011,"Pinchas","Haftara","I Kings 18:46 - 19:21",

23-Jul-2011,"Matot",1,"Numbers 30:2 - 30:17",16
23-Jul-2011,"Matot",2,"Numbers 31:1 - 31:12",12
23-Jul-2011,"Matot",3,"Numbers 31:13 - 31:24",12
23-Jul-2011,"Matot",4,"Numbers 31:25 - 31:41",17
23-Jul-2011,"Matot",5,"Numbers 31:42 - 31:54",13
23-Jul-2011,"Matot",6,"Numbers 32:1 - 32:19",19
23-Jul-2011,"Matot",7,"Numbers 32:20 - 32:42",23
23-Jul-2011,"Matot","maf","Numbers 32:39 - 32:42",4
23-Jul-2011,"Matot","Haftara","Jeremiah 1:1 - 2:3",

30-Jul-2011,"Masei",1,"Numbers 33:1 - 33:10",10
30-Jul-2011,"Masei",2,"Numbers 33:11 - 33:49",39
30-Jul-2011,"Masei",3,"Numbers 33:50 - 34:15",22
30-Jul-2011,"Masei",4,"Numbers 34:16 - 34:29",14
30-Jul-2011,"Masei",5,"Numbers 35:1 - 35:8",8
30-Jul-2011,"Masei",6,"Numbers 35:9 - 35:34",26
30-Jul-2011,"Masei",7,"Numbers 36:1 - 36:13",13
30-Jul-2011,"Masei","maf","Numbers 36:11 - 36:13",3
30-Jul-2011,"Masei","Haftara","Jeremiah 2:4 - 28; 3:4",

06-Aug-2011,"Devarim",1,"Deuteronomy 1:1 - 1:11",11
06-Aug-2011,"Devarim",2,"Deuteronomy 1:12 - 1:21",10
06-Aug-2011,"Devarim",3,"Deuteronomy 1:22 - 1:38",17
06-Aug-2011,"Devarim",4,"Deuteronomy 1:39 - 2:1",9
06-Aug-2011,"Devarim",5,"Deuteronomy 2:2 - 2:30",29
06-Aug-2011,"Devarim",6,"Deuteronomy 2:31 - 3:14",21
06-Aug-2011,"Devarim",7,"Deuteronomy 3:15 - 3:22",8
06-Aug-2011,"Devarim","maf","Deuteronomy 3:20 - 3:22",3
06-Aug-2011,"Devarim","Haftara","Isaiah 1:1 - 1:27",

13-Aug-2011,"Vaetchanan",1,"Deuteronomy 3:23 - 4:4",11
13-Aug-2011,"Vaetchanan",2,"Deuteronomy 4:5 - 4:40",36
13-Aug-2011,"Vaetchanan",3,"Deuteronomy 4:41 - 4:49",9
13-Aug-2011,"Vaetchanan",4,"Deuteronomy 5:1 - 5:18",18
13-Aug-2011,"Vaetchanan",5,"Deuteronomy 5:19 - 6:3",15
13-Aug-2011,"Vaetchanan",6,"Deuteronomy 6:4 - 6:25",22
13-Aug-2011,"Vaetchanan",7,"Deuteronomy 7:1 - 7:11",11
13-Aug-2011,"Vaetchanan","maf","Deuteronomy 7:9 - 7:11",3
13-Aug-2011,"Vaetchanan","Haftara","Isaiah 40:1 - 40:26",

20-Aug-2011,"Eikev",1,"Deuteronomy 7:12 - 8:10",25
20-Aug-2011,"Eikev",2,"Deuteronomy 8:11 - 9:3",13
20-Aug-2011,"Eikev",3,"Deuteronomy 9:4 - 9:29",26
20-Aug-2011,"Eikev",4,"Deuteronomy 10:1 - 10:11",11
20-Aug-2011,"Eikev",5,"Deuteronomy 10:12 - 11:9",20
20-Aug-2011,"Eikev",6,"Deuteronomy 11:10 - 11:21",12
20-Aug-2011,"Eikev",7,"Deuteronomy 11:22 - 11:25",4
20-Aug-2011,"Eikev","maf","Deuteronomy 11:22 - 11:25",4
20-Aug-2011,"Eikev","Haftara","Isaiah 49:14 - 51:3",

27-Aug-2011,"Re'eh",1,"Deuteronomy 11:26 - 12:10",17
27-Aug-2011,"Re'eh",2,"Deuteronomy 12:11 - 12:28",18
27-Aug-2011,"Re'eh",3,"Deuteronomy 12:29 - 13:19",22
27-Aug-2011,"Re'eh",4,"Deuteronomy 14:1 - 14:21",21
27-Aug-2011,"Re'eh",5,"Deuteronomy 14:22 - 14:29",8
27-Aug-2011,"Re'eh",6,"Deuteronomy 15:1 - 15:18",18
27-Aug-2011,"Re'eh",7,"Deuteronomy 15:19 - 16:17",22
27-Aug-2011,"Re'eh","maf","Deuteronomy 16:13 - 16:17",5
27-Aug-2011,"Re'eh","Haftara","Isaiah 54:11 - 55:5",

03-Sep-2011,"Shoftim",1,"Deuteronomy 16:18 - 17:13",18
03-Sep-2011,"Shoftim",2,"Deuteronomy 17:14 - 17:20",7
03-Sep-2011,"Shoftim",3,"Deuteronomy 18:1 - 18:5",5
03-Sep-2011,"Shoftim",4,"Deuteronomy 18:6 - 18:13",8
03-Sep-2011,"Shoftim",5,"Deuteronomy 18:14 - 19:13",22
03-Sep-2011,"Shoftim",6,"Deuteronomy 19:14 - 20:9",17
03-Sep-2011,"Shoftim",7,"Deuteronomy 20:10 - 21:9",20
03-Sep-2011,"Shoftim","maf","Deuteronomy 21:7 - 21:9",3
03-Sep-2011,"Shoftim","Haftara","Isaiah 51:12 - 52:12",

10-Sep-2011,"Ki Teitzei",1,"Deuteronomy 21:10 - 21:21",12
10-Sep-2011,"Ki Teitzei",2,"Deuteronomy 21:22 - 22:7",9
10-Sep-2011,"Ki Teitzei",3,"Deuteronomy 22:8 - 23:7",29
10-Sep-2011,"Ki Teitzei",4,"Deuteronomy 23:8 - 23:24",17
10-Sep-2011,"Ki Teitzei",5,"Deuteronomy 23:25 - 24:4",6
10-Sep-2011,"Ki Teitzei",6,"Deuteronomy 24:5 - 24:13",9
10-Sep-2011,"Ki Teitzei",7,"Deuteronomy 24:14 - 25:19",28
10-Sep-2011,"Ki Teitzei","maf","Deuteronomy 25:17 - 25:19",3
10-Sep-2011,"Ki Teitzei","Haftara","Isaiah 54:1 - 54:10",

17-Sep-2011,"Ki Tavo",1,"Deuteronomy 26:1 - 26:11",11
17-Sep-2011,"Ki Tavo",2,"Deuteronomy 26:12 - 26:15",4
17-Sep-2011,"Ki Tavo",3,"Deuteronomy 26:16 - 26:19",4
17-Sep-2011,"Ki Tavo",4,"Deuteronomy 27:1 - 27:10",10
17-Sep-2011,"Ki Tavo",5,"Deuteronomy 27:11 - 28:6",22
17-Sep-2011,"Ki Tavo",6,"Deuteronomy 28:7 - 28:69",63
17-Sep-2011,"Ki Tavo",7,"Deuteronomy 29:1 - 29:8",8
17-Sep-2011,"Ki Tavo","maf","Deuteronomy 29:6 - 29:8",3
17-Sep-2011,"Ki Tavo","Haftara","Isaiah 60:1 - 60:22",

24-Sep-2011,"Nitzavim-Vayeilech",1,"Deuteronomy 29:9 - 29:28",20
24-Sep-2011,"Nitzavim-Vayeilech",2,"Deuteronomy 30:1 - 30:6",6
24-Sep-2011,"Nitzavim-Vayeilech",3,"Deuteronomy 30:7 - 30:14",8
24-Sep-2011,"Nitzavim-Vayeilech",4,"Deuteronomy 30:15 - 31:6",12
24-Sep-2011,"Nitzavim-Vayeilech",5,"Deuteronomy 31:7 - 31:13",7
24-Sep-2011,"Nitzavim-Vayeilech",6,"Deuteronomy 31:14 - 31:19",6
24-Sep-2011,"Nitzavim-Vayeilech",7,"Deuteronomy 31:20 - 31:30",11
24-Sep-2011,"Nitzavim-Vayeilech","Haftara","Isaiah 61:10 - 63:9",

01-Oct-2011,"Ha'Azinu",1,"Deuteronomy 32:1 - 32:6",6
01-Oct-2011,"Ha'Azinu",2,"Deuteronomy 32:7 - 32:12",6
01-Oct-2011,"Ha'Azinu",3,"Deuteronomy 32:13 - 32:18",6
01-Oct-2011,"Ha'Azinu",4,"Deuteronomy 32:19 - 32:28",10
01-Oct-2011,"Ha'Azinu",5,"Deuteronomy 32:29 - 32:39",11
01-Oct-2011,"Ha'Azinu",6,"Deuteronomy 32:40 - 32:43",4
01-Oct-2011,"Ha'Azinu",7,"Deuteronomy 32:44 - 32:52",9
01-Oct-2011,"Ha'Azinu","maf","Deuteronomy 32:48 - 32:52",5
01-Oct-2011,"Ha'Azinu","Haftara","Hosea 14:2-10; Micah 7:18-20; Joel 2:15-27 (Shabbat Shuva)",

22-Oct-2011,"Bereshit",1,"Genesis 1:1 - 2:3",34
22-Oct-2011,"Bereshit",2,"Genesis 2:4 - 2:19",16
22-Oct-2011,"Bereshit",3,"Genesis 2:20 - 3:21",27
22-Oct-2011,"Bereshit",4,"Genesis 3:22 - 4:18",21
22-Oct-2011,"Bereshit",5,"Genesis 4:19 - 4:22",4
22-Oct-2011,"Bereshit",6,"Genesis 4:23 - 5:24",28
22-Oct-2011,"Bereshit",7,"Genesis 5:25 - 6:8",16
22-Oct-2011,"Bereshit","maf","Genesis 6:5 - 6:8",4
22-Oct-2011,"Bereshit","Haftara","Isaiah 42:5 - 43:10",

29-Oct-2011,"Noach",1,"Genesis 6:9 - 6:22",14
29-Oct-2011,"Noach",2,"Genesis 7:1 - 7:16",16
29-Oct-2011,"Noach",3,"Genesis 7:17 - 8:14",22
29-Oct-2011,"Noach",4,"Genesis 8:15 - 9:7",15
29-Oct-2011,"Noach",5,"Genesis 9:8 - 9:17",10
29-Oct-2011,"Noach",6,"Genesis 9:18 - 10:32",44
29-Oct-2011,"Noach",7,"Genesis 11:1 - 11:32",32
29-Oct-2011,"Noach","maf","Numbers 28:9 - 28:15 (Shabbat Rosh Chodesh)",
29-Oct-2011,"Noach","Haftara","Isaiah 66:1 - 66:24 (Shabbat Rosh Chodesh)",

05-Nov-2011,"Lech-Lecha",1,"Genesis 12:1 - 12:13",13
05-Nov-2011,"Lech-Lecha",2,"Genesis 12:14 - 13:4",11
05-Nov-2011,"Lech-Lecha",3,"Genesis 13:5 - 13:18",14
05-Nov-2011,"Lech-Lecha",4,"Genesis 14:1 - 14:20",20
05-Nov-2011,"Lech-Lecha",5,"Genesis 14:21 - 15:6",10
05-Nov-2011,"Lech-Lecha",6,"Genesis 15:7 - 17:6",37
05-Nov-2011,"Lech-Lecha",7,"Genesis 17:7 - 17:27",21
05-Nov-2011,"Lech-Lecha","maf","Genesis 17:24 - 17:27",4
05-Nov-2011,"Lech-Lecha","Haftara","Isaiah 40:27 - 41:16",

12-Nov-2011,"Vayera",1,"Genesis 18:1 - 18:14",14
12-Nov-2011,"Vayera",2,"Genesis 18:15 - 18:33",19
12-Nov-2011,"Vayera",3,"Genesis 19:1 - 19:20",20
12-Nov-2011,"Vayera",4,"Genesis 19:21 - 21:4",40
12-Nov-2011,"Vayera",5,"Genesis 21:5 - 21:21",17
12-Nov-2011,"Vayera",6,"Genesis 21:22 - 21:34",13
12-Nov-2011,"Vayera",7,"Genesis 22:1 - 22:24",24
12-Nov-2011,"Vayera","maf","Genesis 22:20 - 22:24",5
12-Nov-2011,"Vayera","Haftara","II Kings 4:1 - 4:37",

19-Nov-2011,"Chayei Sara",1,"Genesis 23:1 - 23:16",16
19-Nov-2011,"Chayei Sara",2,"Genesis 23:17 - 24:9",13
19-Nov-2011,"Chayei Sara",3,"Genesis 24:10 - 24:26",17
19-Nov-2011,"Chayei Sara",4,"Genesis 24:27 - 24:52",26
19-Nov-2011,"Chayei Sara",5,"Genesis 24:53 - 24:67",15
19-Nov-2011,"Chayei Sara",6,"Genesis 25:1 - 25:11",11
19-Nov-2011,"Chayei Sara",7,"Genesis 25:12 - 25:18",7
19-Nov-2011,"Chayei Sara","maf","Genesis 25:16 - 25:18",3
19-Nov-2011,"Chayei Sara","Haftara","I Kings 1:1 - 1:31",

26-Nov-2011,"Toldot",1,"Genesis 25:19 - 26:5",21
26-Nov-2011,"Toldot",2,"Genesis 26:6 - 26:12",7
26-Nov-2011,"Toldot",3,"Genesis 26:13 - 26:22",10
26-Nov-2011,"Toldot",4,"Genesis 26:23 - 26:29",7
26-Nov-2011,"Toldot",5,"Genesis 26:30 - 27:27",33
26-Nov-2011,"Toldot",6,"Genesis 27:28 - 28:4",23
26-Nov-2011,"Toldot",7,"Genesis 28:5 - 28:9",5
26-Nov-2011,"Toldot","maf","Genesis 28:7 - 28:9",3
26-Nov-2011,"Toldot","Haftara","I Samuel 20:18 - 20:42 (Shabbat Machar Chodesh)",

03-Dec-2011,"Vayetzei",1,"Genesis 28:10 - 28:22",13
03-Dec-2011,"Vayetzei",2,"Genesis 29:1 - 29:17",17
03-Dec-2011,"Vayetzei",3,"Genesis 29:18 - 30:13",31
03-Dec-2011,"Vayetzei",4,"Genesis 30:14 - 30:27",14
03-Dec-2011,"Vayetzei",5,"Genesis 30:28 - 31:16",32
03-Dec-2011,"Vayetzei",6,"Genesis 31:17 - 31:42",26
03-Dec-2011,"Vayetzei",7,"Genesis 31:43 - 32:3",15
03-Dec-2011,"Vayetzei","maf","Genesis 32:1 - 32:3",3
03-Dec-2011,"Vayetzei","Haftara","Hosea 12:13 - 14:10",

10-Dec-2011,"Vayishlach",1,"Genesis 32:4 - 32:13",10
10-Dec-2011,"Vayishlach",2,"Genesis 32:14 - 32:30",17
10-Dec-2011,"Vayishlach",3,"Genesis 32:31 - 33:5",8
10-Dec-2011,"Vayishlach",4,"Genesis 33:6 - 33:20",15
10-Dec-2011,"Vayishlach",5,"Genesis 34:1 - 35:11",42
10-Dec-2011,"Vayishlach",6,"Genesis 35:12 - 36:19",37
10-Dec-2011,"Vayishlach",7,"Genesis 36:20 - 36:43",24
10-Dec-2011,"Vayishlach","maf","Genesis 36:40 - 36:43",4
10-Dec-2011,"Vayishlach","Haftara","Obadiah 1:1 - 1:21",

17-Dec-2011,"Vayeshev",1,"Genesis 37:1 - 37:11",11
17-Dec-2011,"Vayeshev",2,"Genesis 37:12 - 37:22",11
17-Dec-2011,"Vayeshev",3,"Genesis 37:23 - 37:36",14
17-Dec-2011,"Vayeshev",4,"Genesis 38:1 - 38:30",30
17-Dec-2011,"Vayeshev",5,"Genesis 39:1 - 39:6",6
17-Dec-2011,"Vayeshev",6,"Genesis 39:7 - 39:23",17
17-Dec-2011,"Vayeshev",7,"Genesis 40:1 - 40:23",23
17-Dec-2011,"Vayeshev","maf","Genesis 40:20 - 40:23",4
17-Dec-2011,"Vayeshev","Haftara","Amos 2:6 - 3:8",

24-Dec-2011,"Miketz",1,"Genesis 41:1 - 41:14",14
24-Dec-2011,"Miketz",2,"Genesis 41:15 - 41:38",24
24-Dec-2011,"Miketz",3,"Genesis 41:39 - 41:52",14
24-Dec-2011,"Miketz",4,"Genesis 41:53 - 42:18",23
24-Dec-2011,"Miketz",5,"Genesis 42:19 - 43:15",35
24-Dec-2011,"Miketz",6,"Genesis 43:16 - 43:29",14
24-Dec-2011,"Miketz",7,"Genesis 43:30 - 44:17",22
24-Dec-2011,"Miketz","maf","Numbers 7:30 - 7:41 (Shabbat Chanukah - Day 4)",
24-Dec-2011,"Miketz","Haftara","Zechariah 2:14-4:7 (Shabbat Chanukah)",

31-Dec-2011,"Vayigash",1,"Genesis 44:18 - 44:30",13
31-Dec-2011,"Vayigash",2,"Genesis 44:31 - 45:7",11
31-Dec-2011,"Vayigash",3,"Genesis 45:8 - 45:18",11
31-Dec-2011,"Vayigash",4,"Genesis 45:19 - 45:27",9
31-Dec-2011,"Vayigash",5,"Genesis 45:28 - 46:27",28
31-Dec-2011,"Vayigash",6,"Genesis 46:28 - 47:10",17
31-Dec-2011,"Vayigash",7,"Genesis 47:11 - 47:27",17
31-Dec-2011,"Vayigash","maf","Genesis 47:25 - 47:27",3
31-Dec-2011,"Vayigash","Haftara","Ezekiel 37:15 - 37:28",

07-Jan-2012,"Vayechi",1,"Genesis 47:28 - 48:9",13
07-Jan-2012,"Vayechi",2,"Genesis 48:10 - 48:16",7
07-Jan-2012,"Vayechi",3,"Genesis 48:17 - 48:22",6
07-Jan-2012,"Vayechi",4,"Genesis 49:1 - 49:18",18
